level,angle,D,t,a,B,C1,C2,Q,F10,F11,F12,F13,F14,F15,level1
06MS201-1,16,120°,D=600~3000钢筋混凝土管（Ⅰ级管）,,,,,,,,,,,,图集标识等级
1,120,600,55,100,910,100,178,0.175,91000,161980,131973.07139,54570.425756,0.17557735437,,1
1,120,700,60,100,1020,100,205,0.208,102000,209100,176033.90836,72789.435188,0.20785552683,,1
1,120,800,70,105,1150,105,235,0.255,120750,270250,231325.93906,95652.505848,0.25532656679,,1
1,120,900,75,113,1276,113,263,0.309,144188,335588,288633.82505,119349.12596,0.31049130091,,1
1,120,1000,85,128,1426,128,293,0.389,182528,417818,358377.18196,148187.77191,0.39015658995,,1
1,120,1100,95,143,1576,143,323,0.478,225368,509048,435660.36124,180144.1093,0.47889974807,,1
1,120,1200,100,150,1700,150,350,0.549,255000,595000,513126.80009,212176.22393,0.54904942384,,1
1,120,1350,115,173,1926,173,395,0.709,333198,760770,653555.9917,270243.22725,0.71065523555,,1
1,120,1500,125,188,2126,188,438,0.859,399688,931188,801760.62513,331525.34989,0.86064072475,,1
1,120,1650,140,210,2350,210,483,1.055,493500,1135050,975176.53961,403232.25332,1.0566057137,,1
1,120,1800,150,225,2550,225,525,1.235,573750,1338750,1154535.3002,477396.50384,1.2353612036,,1
1,120,2000,170,255,2850,255,585,1.553,726750,1667250,1433508.7278,592751.08762,1.5532423598,,1
1,120,2200,185,278,3126,278,643,1.862,869028,2010018,1729158.7765,715001.39868,1.8648886222,,1
1,120,2400,200,300,3400,300,700,2.196,1020000,2380000,2052507.2003,848704.89571,2.1961976954,,1
1,120,2600,220,330,3700,330,760,2.614,1221000,2812000,2419445.2223,1000432.5465,2.6139873242,,1
1,120,2800,235,353,3976,353,818,3.011,1403528,3252368,2799394.6738,1157540.38,3.0140417062,,1
1,120,3000,250,375,4250,375,875,3.432,1593750,3718750,3207042.5005,1326101.3995,3.431558899,,1
06MS201-1,17,120°,D=600~3000钢筋混凝土管（Ⅱ、Ⅲ级管）,,,,,,,,,,,,06MS201-1
2,120,600,60,100,920,100,180,0.178,92000,165600,135716.80264,56118.446165,0.17800164353,,2、3
2,120,700,70,105,1050,105,210,0.222,110250,220500,184725.64803,76383.440614,0.22240779258,,2、3
2,120,800,80,120,1200,120,240,0.29,144000,288000,241274.3158,99766.126516,0.29049181072,,2、3
2,120,900,90,135,1350,135,270,0.368,182250,364500,305362.80593,126266.50387,0.36765369794,,2、3
2,120,1000,100,150,1500,150,300,0.454,225000,450000,376991.11843,155884.57268,0.45389345425,,2、3
2,120,1100,110,165,1650,165,330,0.549,272250,544500,456159.2533,188620.33294,0.54921107964,,2、3
2,120,1200,120,180,1800,180,360,0.654,324000,648000,542867.21054,224473.78466,0.65360657412,,2、3
2,120,1350,135,203,2026,203,405,0.827,411278,820530,687066.31334,284099.63371,0.82884132037,,2、3
2,120,1500,150,225,2250,225,450,1.021,506250,1012500,848230.01647,350740.28853,1.0212602721,,2、3
2,120,1650,165,248,2476,248,495,1.237,614048,1225620,1026358.3199,424395.74912,1.2377054292,,2、3
2,120,1800,180,270,2700,270,540,1.471,729000,1458000,1221451.2237,505066.01549,1.4706147918,,2、3
2,120,2000,200,300,3000,300,600,1.816,900000,1800000,1507964.4737,623538.29072,1.815573817,,2、3
2,120,2200,220,330,3300,330,660,2.197,1089000,2178000,1824637.0132,754481.33178,2.1968443186,,2、3
2,120,2400,230,345,3550,345,715,2.507,1224750,2538250,2141414.2724,885467.6741,2.5070534017,,2、3
