level,angle,D,oD,t,a,B,C1,C2,Q,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
,,90°,,,,,,,,,,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,90,160,159.1,1.2,0,0,0,23.3,0,79.55,56.2503444433899,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,90,200,198.8,1.4,0,0,0,29.11,0,99.4,70.2864140499428,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,90,250,248.5,1.7,0,0,0,36.39,0,124.25,87.8580175624285,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,90,315,313.2,1.9,0,0,0,45.87,0,156.6,110.732921933813,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,90,400,397.6,2.3,0,0,0,58.23,0,198.8,140.572828099886,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,90,500,497.0,2.8,0,0,0,72.78,0,248.5,175.716035124857,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,90,630,626.3,3.3,0,0,0,91.72,0,313.15,221.430488528567,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,90,800,795.2,4.1,0,0,0,116.45,0,397.6,281.145656199771,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,90,1000,994.0,5.0,0,0,0,145.57,0,497,351.432070249714,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,90,1200,1192.8,5.0,0,0,0,174.68,0,596.4,421.718484299657,,,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,150,152,1.0,0,0,0,22.26,0,76,53.7401153701776,,145,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,200,202.2,1.1,0,0,0,29.61,0,101.1,71.48849557796,,195,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,250,253,1.5,0,0,0,37.05,0,126.5,89.4490078200983,,245,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,300,303.4,1.7,0,0,0,44.43,0,151.7,107.268098705999,,294,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,400,404.6,2.3,0,0,0,59.25,0,202.3,143.047701834039,,392,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,450,455.6,2.8,0,0,0,66.72,0,227.8,161.078924754296,,441,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,500,506,3.0,0,0,0,74.1,0,253,178.898015640197,,490,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,600,607,3.5,0,0,0,88.89,0,303.5,214.606908090117,,588,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,700,708.2,4.1,0,0,0,103.71,0,354.1,250.386511218157,,673,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,800,809,4.5,0,0,0,118.48,0,404.5,286.024692989959,,785,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,900,910,5.0,0,0,0,133.27,0,455,321.733585439879,,885,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,1000,1010,5.0,0,0,0,147.91,0,505,357.088924499207,,985,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,1100,1110,5.0,0,0,0,162.56,0,555,392.444263558534,,1085,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,90,1200,1210,5.0,0,0,0,177.2,0,605,427.799602617861,,1185,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,150,152.6,1.3,0,0,0,22.35,0,76.3,53.9522474045336,,145,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,200,203,1.5,0,0,0,29.73,0,101.5,71.7713382904346,,195,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,250,253.6,1.8,0,0,0,37.14,0,126.8,89.6611398544542,,245,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,300,304,2.0,0,0,0,44.52,0,152,107.480230740355,,294,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,400,405,2.5,0,0,0,59.31,0,202.5,143.189123190276,,392,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,450,455.6,2.8,0,0,0,66.72,0,227.8,161.078924754296,,441,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,500,506,3.0,0,0,0,74.1,0,253,178.898015640197,,490,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,600,607,3.5,0,0,0,88.89,0,303.5,214.606908090117,,588,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,700,708,4.0,0,0,0,103.68,0,354,250.315800540038,,673,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,800,809,4.5,0,0,0,118.48,0,404.5,286.024692989959,,785,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,900,910,5.0,0,0,0,133.27,0,455,321.733585439879,,885,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,1000,1010,5.0,0,0,0,147.91,0,505,357.088924499207,,985,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,1100,1110,5.0,0,0,0,162.56,0,555,392.444263558534,,1085,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,90,1200,1210,5.0,0,0,0,177.2,0,605,427.799602617861,,1185,,,,,,,
,,120°,,,,,,,,,,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,120,160,159.1,1.2,0,0,0,39.78,0,79.55,39.775,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,120,200,198.8,1.4,0,0,0,49.7,0,99.4,49.7,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,120,250,248.5,1.7,0,0,0,62.13,0,124.25,62.125,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,120,315,313.2,1.9,0,0,0,78.3,0,156.6,78.3,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,120,400,397.6,2.3,0,0,0,99.4,0,198.8,99.4,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,120,500,497.0,2.8,0,0,0,124.25,0,248.5,124.25,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,120,630,626.3,3.3,0,0,0,156.58,0,313.15,156.575,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,120,800,795.2,4.1,0,0,0,198.8,0,397.6,198.8,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,120,1000,994.0,5.0,0,0,0,248.5,0,497,248.5,,,,,,,,,
聚氯乙烯(PE)双壁波纹管,120,1200,1192.8,5.0,0,0,0,298.2,0,596.4,298.2,,,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,150,152,1.0,0,0,0,38,0,76,38,,145,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,200,202.2,1.1,0,0,0,50.55,0,101.1,50.55,,195,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,250,253,1.5,0,0,0,63.25,0,126.5,63.25,,245,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,300,303.4,1.7,0,0,0,75.85,0,151.7,75.85,,294,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,400,404.6,2.3,0,0,0,101.15,0,202.3,101.15,,392,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,450,455.6,2.8,0,0,0,113.9,0,227.8,113.9,,441,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,500,506,3.0,0,0,0,126.5,0,253,126.5,,490,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,600,607,3.5,0,0,0,151.75,0,303.5,151.75,,588,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,700,708.2,4.1,0,0,0,177.05,0,354.1,177.05,,673,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,800,809,4.5,0,0,0,202.25,0,404.5,202.25,,785,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,900,910,5.0,0,0,0,227.5,0,455,227.5,,885,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,1000,1010,5.0,0,0,0,252.5,0,505,252.5,,985,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,1100,1110,5.0,0,0,0,277.5,0,555,277.5,,1085,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 A型,120,1200,1210,5.0,0,0,0,302.5,0,605,302.5,,1185,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,120,150,152.6,1.3,0,0,0,38.15,0,76.3,38.15,,145,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,120,200,203,1.5,0,0,0,50.75,0,101.5,50.75,,195,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,120,250,253.6,1.8,0,0,0,63.4,0,126.8,63.4,,245,,,,,,,
聚氯乙烯(PE)缠绕结构壁管 B型,120,300,304,2.0,0,0,0,76,0,152,76,,294,,,,,,,
