level,angle,D,oD,t,a,B,C1,C2,Q,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
,,90°,,,,,,,,,,,,,,,,,,
钢带增强聚乙烯(PE)螺旋波纹管,90,800,794,4.5,0,0,0,116.28,0,397,280.721392131059,,785,,,,,,,
钢带增强聚乙烯(PE)螺旋波纹管,90,1000,995,5.0,0,0,0,145.71,0,497.5,351.785623640307,,985,,,,,,,
钢带增强聚乙烯(PE)螺旋波纹管,90,1200,1195,5.0,0,0,0,175,0,597.5,422.496301758962,,1185,,,,,,,
,,120°,,,,,,,,,,,,,,,,,,
钢带增强聚乙烯(PE)螺旋波纹管,120,800,794,4.5,0,0,0,198.5,0,397,198.5,,785,,,,,,,
钢带增强聚乙烯(PE)螺旋波纹管,121,1000,995,5.0,0,0,0,252.52,0,497.5,244.980721151475,,985,,,,,,,
钢带增强聚乙烯(PE)螺旋波纹管,122,1200,1195,5.0,0,0,0,307.83,0,597.5,289.673748097186,,1185,,,,,,,
,,150°,,,,,,,,,,,,,,,,,,
钢带增强聚乙烯(PE)螺旋波纹管,150,800,794,4.5,0,0,0,294.25,0,397,102.751160905701,,785,,,,,,,
钢带增强聚乙烯(PE)螺旋波纹管,150,1000,995,5.0,0,0,0,368.74,0,497.5,128.762474938504,,985,,,,,,,
钢带增强聚乙烯(PE)螺旋波纹管,150,1200,1195,5.0,0,0,0,442.86,0,597.5,154.644379448756,,1185,,,,,,,
,,180°,,,,,,,,,,,,,,,,,,
钢带增强聚乙烯(PE)螺旋波纹管,180,800,794,4.5,0,0,0,397,0,397,2.43191968299361E-14,,785,,,,,,,
钢带增强聚乙烯(PE)螺旋波纹管,180,1000,995,5.0,0,0,0,497.5,0,497.5,3.04755678158519E-14,,985,,,,,,,
钢带增强聚乙烯(PE)螺旋波纹管,180,1200,1195,5.0,0,0,0,597.5,0,597.5,3.6601310090395E-14,,1185,,,,,,,
