level,angle,D,t,a,B,C1,C2,Q
,,,,,,,,
0,0,20,2.3,0,0,0,0,0
0,0,25,2.3,0,0,0,0,0
0,0,32,3,0,0,0,0,0
0,0,40,3.7,0,0,0,0,0
0,0,50,4.6,0,0,0,0,0
0,0,63,5.8,0,0,0,0,0
0,0,75,6.8,0,0,0,0,0
0,0,90,8.2,0,0,0,0,0
0,0,110,10,0,0,0,0,0
0,0,125,11.4,0,0,0,0,0
0,0,140,12.7,0,0,0,0,0
0,0,160,14.6,0,0,0,0,0
0,0,180,16.4,0,0,0,0,0
0,0,200,18.2,0,0,0,0,0
0,0,225,20.5,0,0,0,0,0
0,0,250,22.7,0,0,0,0,0
0,0,280,25.4,0,0,0,0,0
0,0,315,28.6,0,0,0,0,0
0,0,355,32.2,0,0,0,0,0
0,0,400,36.3,0,0,0,0,0
0,0,450,40.9,0,0,0,0,0
0,0,500,45.4,0,0,0,0,0
0,0,560,50.8,0,0,0,0,0
0,0,630,57.2,0,0,0,0,0
