level,angle,D,t,a,B,C1,C2,Q
,,,,,,,,
平口管,0,800,80,0,0,0,0,0
平口管,0,900,90,0,0,0,0,0
平口管,0,1000,100,0,0,0,0,0
平口管,0,1100,110,0,0,0,0,0
平口管,0,1200,120,0,0,0,0,0
平口管,0,1350,135,0,0,0,0,0
平口管,0,1500,150,0,0,0,0,0
平口管,0,1650,165,0,0,0,0,0
平口管,0,1800,180,0,0,0,0,0
平口管,0,2000,200,0,0,0,0,0
平口管,0,2200,220,0,0,0,0,0
平口管,0,2400,240,0,0,0,0,0
平口管,0,2600,260,0,0,0,0,0
平口管,0,2800,280,0,0,0,0,0
平口管,0,3000,300,0,0,0,0,0
,,,,,,,,
企口管,0,1100,110,0,0,0,0,0
企口管,0,1200,120,0,0,0,0,0
企口管,0,1350,135,0,0,0,0,0
企口管,0,1500,150,0,0,0,0,0
企口管,0,1650,165,0,0,0,0,0
企口管,0,1800,180,0,0,0,0,0
企口管,0,2000,200,0,0,0,0,0
企口管,0,2200,220,0,0,0,0,0
企口管,0,2400,240,0,0,0,0,0
企口管,0,2600,260,0,0,0,0,0
企口管,0,2800,280,0,0,0,0,0
企口管,0,3000,300,0,0,0,0,0
,,,,,,,,
双插口管,0,600,60,0,0,0,0,0
双插口管,0,700,70,0,0,0,0,0
双插口管,0,800,80,0,0,0,0,0
双插口管,0,900,90,0,0,0,0,0
双插口管,0,1000,100,0,0,0,0,0
双插口管,0,1100,110,0,0,0,0,0
双插口管,0,1200,120,0,0,0,0,0
双插口管,0,1350,135,0,0,0,0,0
双插口管,0,1500,150,0,0,0,0,0
双插口管,0,1650,165,0,0,0,0,0
双插口管,0,1800,180,0,0,0,0,0
双插口管,0,2000,200,0,0,0,0,0
双插口管,0,2200,220,0,0,0,0,0
双插口管,0,2400,240,0,0,0,0,0
双插口管,0,2600,260,0,0,0,0,0
双插口管,0,2800,280,0,0,0,0,0
双插口管,0,3000,300,0,0,0,0,0
,,,,,,,,
钢承口管,0,2000,200,0,0,0,0,0
钢承口管,0,2200,220,0,0,0,0,0
钢承口管,0,2400,240,0,0,0,0,0
钢承口管,0,2600,260,0,0,0,0,0
钢承口管,0,2800,280,0,0,0,0,0
钢承口管,0,3000,300,0,0,0,0,0
