level,angle,D,oD,t,a,B,C1,C2,Q,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
,,90бу,,,,,,,,,,,,,,,,,,
K8,90,80,98,6,0,0,0,14.35,0,49,34.6482322781408,,,,,,,,,
K8,90,100,118,6,0,0,0,17.28,0,59,41.7193000900063,,,,,,,,,
K8,90,125,144,6,0,0,0,21.09,0,72,50.9116882454314,,,,,,,,,
K8,90,150,170,6,0,0,0,24.9,0,85,60.1040764008565,,,,,,,,,
K8,90,200,222,6,0,0,0,32.51,0,111,78.4888527117068,,,,,,,,,
K8,90,250,274,6,0,0,0,40.13,0,137,96.873629022557,,,,,,,,,
K8,90,300,326,6.4,0,0,0,47.74,0,163,115.258405333407,,,,,,,,,
K8,90,350,378,6.8,0,0,0,55.36,0,189,133.643181644257,,,,,,,,,
K8,90,400,429,7.2,0,0,0,62.83,0,214.5,151.674404564514,,,,,,,,,
K8,90,450,480,7.6,0,0,0,70.29,0,240,169.705627484771,,,,,,,,,
K8,90,500,532,8,0,0,0,77.91,0,266,188.090403795622,,,,,,,,,
K8,90,600,635,8.8,0,0,0,92.99,0,317.5,224.506403026729,,,,,,,,,
K8,90,700,738,9.6,0,0,0,108.08,0,369,260.922402257836,,,,,,,,,
K8,90,800,842,10.4,0,0,0,123.31,0,421,297.691954879537,,,,,,,,,
K8,90,900,945,11.2,0,0,0,138.39,0,472.5,334.107954110644,,,,,,,,,
K8,90,1000,1048,12,0,0,0,153.48,0,524,370.523953341751,,,,,,,,,
K8,90,1200,1265,13.6,0,0,0,185.25,0,632.5,447.245039100491,,,,,,,,,
K8,90,1400,1462,16,0,0,0,214.1,0,731,516.895057047366,,,,,,,,,
K8,90,1600,1668,18.4,0,0,0,244.27,0,834,589.727055509581,,,,,,,,,
K9,90,80,98,6,0,0,0,14.35,0,49,34.6482322781408,,,,,,,,,
K9,90,100,118,6.1,0,0,0,17.28,0,59,41.7193000900063,,,,,,,,,
K9,90,125,144,6,0,0,0,21.09,0,72,50.9116882454314,,,,,,,,,
K9,90,150,170,6.3,0,0,0,24.9,0,85,60.1040764008565,,,,,,,,,
K9,90,200,222,6.4,0,0,0,32.51,0,111,78.4888527117068,,,,,,,,,
K9,90,250,274,6.8,0,0,0,40.13,0,137,96.873629022557,,,,,,,,,
K9,90,300,326,7.2,0,0,0,47.74,0,163,115.258405333407,,,,,,,,,
K9,90,350,378,7.7,0,0,0,55.36,0,189,133.643181644257,,,,,,,,,
K9,90,400,429,8.1,0,0,0,62.83,0,214.5,151.674404564514,,,,,,,,,
K9,90,450,480,8.6,0,0,0,70.29,0,240,169.705627484771,,,,,,,,,
K9,90,500,532,9,0,0,0,77.91,0,266,188.090403795622,,,,,,,,,
K9,90,600,635,9.9,0,0,0,92.99,0,317.5,224.506403026729,,,,,,,,,
K9,90,700,738,10.8,0,0,0,108.08,0,369,260.922402257836,,,,,,,,,
K9,90,800,842,11.7,0,0,0,123.31,0,421,297.691954879537,,,,,,,,,
K9,90,900,945,12.6,0,0,0,138.39,0,472.5,334.107954110644,,,,,,,,,
K9,90,1000,1048,13.5,0,0,0,153.48,0,524,370.523953341751,,,,,,,,,
