level,angle,D,oD,t,a,B,C1,C2,Q,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
,,90°,,,,,,,,,,,,,,,,,,
焊接钢管1.0Mpa,90,15,21.3,2.75,0,0,0,3.12,0,10.65,7.53068721963673,,21.3*2.75,DN15,,,,,,
焊接钢管1.0Mpa,90,20,26.8,2.75,0,0,0,3.92,0,13.4,9.47523086789974,,26.8*2.75,DN20,,,,,,
焊接钢管1.0Mpa,90,25,33.5,3.25,0,0,0,4.91,0,16.75,11.8440385848747,,33.5*3.25,DN25,,,,,,
焊接钢管1.0Mpa,90,32,42.3,3.25,0,0,0,6.19,0,21.15,14.9553084220955,,42.3*3.25,DN32,,,,,,
焊接钢管1.0Mpa,90,40,48,3.5,0,0,0,7.03,0,24,16.9705627484771,,48*3.5,DN40,,,,,,
焊接钢管1.0Mpa,90,50,60,3.5,0,0,0,8.79,0,30,21.2132034355964,,60*3.5,DN50,,,,,,
焊接钢管1.0Mpa,90,65,75.5,3.75,0,0,0,11.06,0,37.75,26.6932809897922,,75.5*3.75,DN65,,,,,,
焊接钢管1.0Mpa,90,80,88.5,4,0,0,0,12.96,0,44.25,31.2894750675047,,88.5*4,DN80,,,,,,
焊接钢管1.0Mpa,90,100,114,4,0,0,0,16.69,0,57,40.3050865276332,,114*4,DN100,,,,,,
焊接钢管1.0Mpa,90,125,140,4.5,0,0,0,20.5,0,70,49.4974746830583,,140*4.5,DN125,,,,,,
焊接钢管1.0Mpa,90,150,165,4.5,0,0,0,24.16,0,82.5,58.3363094478902,,165*4.5,DN150,,,,,,
焊接钢管1.6Mpa,90,15,21.3,3.25,0,0,0,3.12,0,10.65,7.53068721963673,,21.3*3.25,DN15,,,,,,
焊接钢管1.6Mpa,90,20,26.8,3.5,0,0,0,3.92,0,13.4,9.47523086789974,,26.8*3.5,DN20,,,,,,
焊接钢管1.6Mpa,90,25,33.5,4,0,0,0,4.91,0,16.75,11.8440385848747,,33.5*4,DN25,,,,,,
焊接钢管1.6Mpa,90,32,42.3,4,0,0,0,6.19,0,21.15,14.9553084220955,,42.3*4,DN32,,,,,,
焊接钢管1.6Mpa,90,40,48,4.25,0,0,0,7.03,0,24,16.9705627484771,,48*4.25,DN40,,,,,,
