类型,名称,单位,上海,石家庄
开挖,Ⅲ类土,m3,25,22.5
垫层,中粗砂,m3,250,225
回填,中粗砂,m3,220,198
回填,素土,m3,50,45
围护,拉森Ⅳ,t,1500,1350
支撑,钢支撑、钢围檩,t,2000,1800
管道基础,混凝土,m3,500,450
管道基础,模板,m2,400,360
降水,湿土排水,m3,15,13.5
降水,轻型井点,根,1200,1080
降水,喷射井点,根,1800,1620
降水,大口径井点,座,40000,36000
降水,深井,座,100000,90000
管材,Ⅰ级混凝土管 Dn150,m,150,135
管材,Ⅰ级混凝土管 Dn200,m,200,180
管材,Ⅰ级混凝土管 Dn250,m,250,225
管材,Ⅰ级混凝土管 Dn300,m,300,270
管材,Ⅰ级混凝土管 Dn350,m,350,315
管材,Ⅰ级混凝土管 Dn400,m,400,360
管材,Ⅰ级混凝土管 Dn450,m,450,405
管材,Ⅰ级混凝土管 Dn500,m,500,450
管材,Ⅰ级混凝土管 Dn600,m,600,540
管材,Ⅰ级混凝土管 Dn700,m,700,630
管材,Ⅰ级混凝土管 Dn800,m,800,720
管材,Ⅰ级混凝土管 Dn900,m,900,810
管材,Ⅰ级混凝土管 Dn1000,m,1000,900
管材,Ⅰ级混凝土管 Dn1100,m,1100,990
管材,Ⅰ级混凝土管 Dn1200,m,1200,1080
管材,Ⅰ级混凝土管 Dn1350,m,1350,1215
管材,Ⅰ级混凝土管 Dn1500,m,1500,1350
管材,Ⅰ级混凝土管 Dn1650,m,1650,1485
管材,Ⅰ级混凝土管 Dn1800,m,1800,1620
管材,Ⅰ级混凝土管 Dn2000,m,2000,1800
管材,Ⅰ级混凝土管 Dn2200,m,2200,1980
管材,Ⅰ级混凝土管 Dn2400,m,2400,2160
管材,Ⅰ级混凝土管 Dn2600,m,2600,2340
管材,Ⅰ级混凝土管 Dn2800,m,2800,2520
管材,Ⅰ级混凝土管 Dn3000,m,3000,2700
管材,Ⅱ级混凝土管 Dn150,m,150,135
管材,Ⅱ级混凝土管 Dn200,m,200,180
管材,Ⅱ级混凝土管 Dn250,m,250,225
管材,Ⅱ级混凝土管 Dn300,m,300,270
管材,Ⅱ级混凝土管 Dn350,m,350,315
管材,Ⅱ级混凝土管 Dn400,m,400,360
管材,Ⅱ级混凝土管 Dn450,m,450,405
管材,Ⅱ级混凝土管 Dn500,m,500,450
管材,Ⅱ级混凝土管 Dn600,m,600,540
管材,Ⅱ级混凝土管 Dn700,m,700,630
管材,Ⅱ级混凝土管 Dn800,m,800,720
管材,Ⅱ级混凝土管 Dn900,m,900,810
管材,Ⅱ级混凝土管 Dn1000,m,1000,900
管材,Ⅱ级混凝土管 Dn1100,m,1100,990
管材,Ⅱ级混凝土管 Dn1200,m,1200,1080
管材,Ⅱ级混凝土管 Dn1350,m,1350,1215
管材,Ⅱ级混凝土管 Dn1500,m,1500,1350
管材,Ⅱ级混凝土管 Dn1650,m,1650,1485
管材,Ⅱ级混凝土管 Dn1800,m,1800,1620
管材,Ⅱ级混凝土管 Dn2000,m,2000,1800
管材,Ⅱ级混凝土管 Dn2200,m,2200,1980
管材,Ⅱ级混凝土管 Dn2400,m,2400,2160
管材,Ⅱ级混凝土管 Dn2600,m,2600,2340
管材,Ⅱ级混凝土管 Dn2800,m,2800,2520
管材,Ⅱ级混凝土管 Dn3000,m,3000,2700
管材,Ⅲ级混凝土管 Dn600,m,600,540
管材,Ⅲ级混凝土管 Dn700,m,700,630
管材,Ⅲ级混凝土管 Dn800,m,800,720
管材,Ⅲ级混凝土管 Dn900,m,900,810
管材,Ⅲ级混凝土管 Dn1000,m,1000,900
管材,Ⅲ级混凝土管 Dn1100,m,1100,990
管材,Ⅲ级混凝土管 Dn1200,m,1200,1080
管材,Ⅲ级混凝土管 Dn1350,m,1350,1215
管材,Ⅲ级混凝土管 Dn1500,m,1500,1350
管材,Ⅲ级混凝土管 Dn1650,m,1650,1485
管材,Ⅲ级混凝土管 Dn1800,m,1800,1620
管材,Ⅲ级混凝土管 Dn2000,m,2000,1800
管材,Ⅲ级混凝土管 Dn2200,m,2200,1980
管材,Ⅲ级混凝土管 Dn2400,m,2400,2160
管材,Ⅲ级混凝土管 Dn2600,m,2600,2340
管材,Ⅲ级混凝土管 Dn2800,m,2800,2520
管材,Ⅲ级混凝土管 Dn3000,m,3000,2700
管材,预应力混凝土管 Dn400,m,400,360
管材,预应力混凝土管 Dn500,m,500,450
管材,预应力混凝土管 Dn600,m,600,540
管材,预应力混凝土管 Dn700,m,700,630
管材,预应力混凝土管 Dn800,m,800,720
管材,预应力混凝土管 Dn900,m,900,810
管材,预应力混凝土管 Dn1000,m,1000,900
管材,预应力混凝土管 Dn1100,m,1100,990
管材,预应力混凝土管 Dn1200,m,1200,1080
管材,预应力混凝土管 Dn1400,m,1400,1260
管材,预应力混凝土管 Dn1600,m,1600,1440
管材,预应力混凝土管 Dn1800,m,1800,1620
管材,预应力混凝土管 Dn2000,m,2000,1800
管材,HDPE承插式双壁缠绕管 Dn200,m,200,180
管材,HDPE承插式双壁缠绕管 Dn300,m,300,270
管材,HDPE承插式双壁缠绕管 Dn400,m,400,360
管材,HDPE承插式双壁缠绕管 Dn500,m,500,450
管材,HDPE承插式双壁缠绕管 Dn600,m,600,540
管材,HDPE承插式双壁缠绕管 Dn700,m,700,630
管材,HDPE承插式双壁缠绕管 Dn800,m,800,720
管材,HDPE承插式双壁缠绕管 Dn900,m,900,810
管材,HDPE承插式双壁缠绕管 Dn1000,m,1000,900
管材,HDPE承插式双壁缠绕管 Dn1100,m,1100,990
管材,HDPE承插式双壁缠绕管 Dn1200,m,1200,1080
管材,HDPE承插式双壁缠绕管 Dn1400,m,1400,1260
管材,HDPE承插式双壁缠绕管 Dn1500,m,1500,1350
管材,HDPE承插式双壁缠绕管 Dn1600,m,1600,1440
管材,HDPE承插式双壁缠绕管 Dn1700,m,1700,1530
管材,HDPE承插式双壁缠绕管 Dn1800,m,1800,1620
管材,HDPE承插式双壁缠绕管 Dn1900,m,1900,1710
管材,HDPE承插式双壁缠绕管 Dn2000,m,2000,1800
