名称,类型,延米重量,宽度,名称1,F6
[25a,钢板桩型号,27.5,250,槽型钢板桩,
[25b,钢板桩型号,31.4,250,槽型钢板桩,
[25c,钢板桩型号,35.3,250,槽型钢板桩,
[32a,钢板桩型号,38.2,320,槽型钢板桩,
[32b,钢板桩型号,43.2,320,槽型钢板桩,
[32c,钢板桩型号,48.3,320,槽型钢板桩,
[36a,钢板桩型号,47.8,360,槽型钢板桩,
[36b,钢板桩型号,53.4,360,槽型钢板桩,
[36c,钢板桩型号,59.1,360,槽型钢板桩,
FSP VIL,钢板桩型号,120,500,钢板桩,
拉森Ⅲ,钢板桩型号,62,400,拉森钢板桩,
拉森Ⅳ,钢板桩型号,75,400,拉森钢板桩,
拉森Ⅴ,钢板桩型号,100,420,拉森钢板桩,
拉森Ⅵ,钢板桩型号,121.8,420,拉森钢板桩,
?203×10,支撑延米重量 kg/m,47.597,,,
?299×10,支撑延米重量 kg/m,71.272,,,
?300×8,支撑延米重量 kg/m,57.61,,,
?426×12,支撑延米重量 kg/m,122.518,,,
?609×16,支撑延米重量 kg/m,233.988,,,
H300×200×6×8,钢围檩延米重量 kg/m,38.49,,,
H300×300×12×12,钢围檩延米重量 kg/m,82.51,,,
H400×300×10×16,钢围檩延米重量 kg/m,104.24,,,
H400×400×13×21,钢围檩延米重量 kg/m,168.41,,,
H600×300×12×20,钢围檩延米重量 kg/m,146.95,,,
H700×300×13×24,钢围檩延米重量 kg/m,179.57,,,
I45a,钢围檩延米重量 kg/m,80.4,,,
I45b,钢围檩延米重量 kg/m,87.4,,,
I45c,钢围檩延米重量 kg/m,94.5,,,
?900二轴工法桩,工法桩轴数 轴,1.1717,900,2,
?850二轴工法桩,工法桩轴数 轴,1.0312,850,2,250
?700二轴工法桩,工法桩轴数 轴,0.7024,700,2,
?650二轴工法桩,工法桩轴数 轴,0.5989,650,2,
?900三轴工法桩,工法桩轴数 轴,1.58,900,3,
?850三轴工法桩,工法桩轴数 轴,1.495346490125,850,3,250
?700三轴工法桩,工法桩轴数 轴,1.0199,700,3,
?650三轴工法桩,工法桩轴数 轴,0.866,650,3,
H300×200×6×8,型钢延米重量 kg/m,38.49,,,
H600×300×12×20,型钢延米重量 kg/m,146.95,,,
H700×300×13×24,型钢延米重量 kg/m,179.57,,,
,,,,,
